row_index	theme	theme_name	level	question	answer
59	3	validitet_reliabilitet	A	Hur bedömer du validitet när direkt observation saknas?	Genom att kombinera teori, indirekta indikatorer och jämförelser med tidigare forskning eller alternativa mått.
60	3	validitet_reliabilitet	A	Hur påverkar confounding validity tolkningen?	Confounders kan skapa skenbara samband och leda till felaktiga slutsatser.
61	4	enkatdesign	E	Vad är en dubbel fråga i enkät?	En fråga som innehåller två frågor i en och därför är svår att besvara.
62	4	enkatdesign	E	Vad är en ledande enkätfråga?	En fråga som antyder vilket svar som förväntas.
63	4	enkatdesign	E	Vad är en öppen fråga?	En fråga där respondenten svarar med egna ord utan fasta svarsalternativ.
64	4	enkatdesign	E	Vad är en sluten fråga?	En fråga där respondenten väljer mellan förutbestämda svarsalternativ.
65	4	enkatdesign	E	Vad är en filterfråga?	En fråga som används för att avgöra vilka följdfrågor som är relevanta för en respondent.
66	4	enkatdesign	E	Varför gör man en pilotenkät?	För att testa frågornas tydlighet, flöde och tekniska funktion innan huvudstudien.
67	4	enkatdesign	E	Vad är ett neutralt svarsalternativ?	Ett mittalternativ som gör det möjligt att inte ta tydlig ställning åt något håll.
68	4	enkatdesign	C	Hur konstruerar man en reliabel enkät?	Genom tydliga frågor, konsekvent skala och pilotstudier.
69	4	enkatdesign	C	Hur påverkar frågeordning svarsmönster?	Tidiga frågor kan påverka hur respondenter tolkar senare frågor.
70	4	enkatdesign	C	Hur kan en enkät kritiseras metodologiskt?	Till exempel för bias, otydliga frågor eller låg representativitet.
71	4	enkatdesign	C	Hur påverkar svarsskalan variationen i data?	Fler och tydligt avgränsade svarsalternativ kan fånga mer variation medan grova skalor kan dölja skillnader.
72	4	enkatdesign	C	När bör man använda öppna respektive slutna frågor?	Öppna frågor passar när man vill fånga nyanser medan slutna frågor passar när jämförbarhet och kodning är viktigast.
73	4	enkatdesign	C	Hur kan social önskvärdhet minskas i en enkät?	Genom neutrala formuleringar, anonymitet och frågor som inte signalerar ett önskat svar.
74	4	enkatdesign	A	Hur kan mätinstrumentets konstruktion påverka resultatet?	Formuleringar, skalor och svarsalternativ kan påverka hur respondenter svarar.
75	4	enkatdesign	A	Hur kan modeeffekter påverka enkätsvar?	Svar kan skilja sig mellan webbenkäter, telefonintervjuer och pappersenkäter eftersom situationen och kontakten med intervjuaren varierar.
76	4	enkatdesign	A	Hur kan översättning mellan språk påverka frågekvaliteten?	Nyanser kan gå förlorade eller ändras vilket kan påverka både validitet och jämförbarhet.
77	4	enkatdesign	A	Hur hanterar du avvägningen mellan kort enkät och hög begreppsvaliditet?	Genom att prioritera centrala indikatorer och väga respondentbörda mot behovet av att täcka begreppet tillräckligt väl.
78	4	enkatdesign	A	Hur kan item nonresponse analyseras metodologiskt?	Genom att undersöka vilka frågor som oftast lämnas obesvarade och om bortfallet är systematiskt kopplat till vissa grupper.
79	4	enkatdesign	A	Diskutera hur svarsalternativ kan skapa mätfel.	Obalanserade, överlappande eller otydliga svarsalternativ kan styra svaren och ge missvisande mätningar.
80	4	enkatdesign	A	Hur kan standardiserade instruktioner påverka datakvaliteten?	De minskar variation i administrationen och gör svaren mer jämförbara mellan respondenter och intervjuare.
81	5	urval_representativitet	E	Vad är bortfall?	När personer i urvalet inte deltar eller inte svarar.
82	5	urval_representativitet	E	Vad är skillnaden mellan population och urval?	Populationen är hela gruppen man vill studera medan urvalet är den del man undersöker.
83	5	urval_representativitet	E	Vad är slumpmässigt urval?	När varje individ i populationen har samma sannolikhet att bli vald.
84	5	urval_representativitet	E	Vad är en pilotstudie?	En mindre teststudie som genomförs innan huvudstudien.
85	5	urval_representativitet	E	Vad är representativitet?	Att urvalet liknar populationen på viktiga egenskaper så att slutsatser kan generaliseras bättre.
86	5	urval_representativitet	E	Vad är ett bekvämlighetsurval?	Ett urval där deltagare väljs för att de är lätta att nå snarare än genom sannolikhetsurval.
87	5	urval_representativitet	E	Vad är ett stratifierat urval?	Ett urval där populationen först delas in i delgrupper och där man sedan drar observationer inom varje grupp.
88	5	urval_representativitet	C	Hur kan bortfall påverka resultaten?	Systematiskt bortfall kan snedvrida resultaten.
89	5	urval_representativitet	C	Hur kan representativitet bedömas?	Genom att jämföra urvalets egenskaper med populationens.
90	5	urval_representativitet	C	Hur kan social önskvärdhet påverka svaren?	Respondenter kan ge svar som framställer dem i bättre dager.
91	5	urval_representativitet	C	Hur kan en pilot förbättra en enkät?	Genom att identifiera otydliga frågor eller tekniska problem.
92	5	urval_representativitet	C	Hur kan självselektion snedvrida ett urval?	Om deltagande bygger på eget intresse kan vissa typer av personer bli överrepresenterade.
93	5	urval_representativitet	C	När kan viktning användas för att hantera urvalsskevhet?	När vissa grupper är över- eller underrepresenterade och man har information som gör det möjligt att justera för detta.
94	5	urval_representativitet	A	Hur påverkar urvalets struktur generaliserbarhet?	Ett snedvridet eller begränsat urval minskar möjligheten att generalisera resultaten.
95	5	urval_representativitet	A	Hur kan klusterurval påverka precisionen?	Observationer inom samma kluster tenderar att likna varandra vilket ofta ger större osäkerhet än ett enkelt slumpmässigt urval av samma storlek.
96	5	urval_representativitet	A	Vilka problem uppstår vid icke-sannolikhetsurval?	Det blir svårare att bedöma urvalsfel och att generalisera resultaten till en tydligt definierad population.
97	5	urval_representativitet	A	Hur kan täckningsfel uppstå i urvalsramen?	Om vissa delar av populationen saknas eller är felaktigt representerade i den lista som urvalet dras från.
98	5	urval_representativitet	A	Hur kan panelattrition påverka slutsatser?	Om vissa deltagare faller bort över tid kan resultaten bli skeva och mindre jämförbara mellan mättillfällen.
99	5	urval_representativitet	A	När är generalisering analytisk snarare än statistisk?	När man främst generaliserar till teori eller mekanismer snarare än till en population via sannolikhetsurval.
100	5	urval_representativitet	A	Hur kan fältarbete öka selektivt bortfall?	Genom att kontaktmetoder, tidpunkter eller påminnelser fungerar bättre för vissa grupper än för andra.
101	6	deskriptiv_statistik	E	Vad är medelvärde?	Medelvärdet är summan av alla observationer dividerad med antalet observationer.
102	6	deskriptiv_statistik	E	Vad är standardavvikelse?	Ett mått på hur mycket observationer i genomsnitt avviker från medelvärdet.
103	6	deskriptiv_statistik	E	Vad är korrelation?	Ett mått på styrkan och riktningen i sambandet mellan två variabler.
104	6	deskriptiv_statistik	E	Vad är deskriptiv statistik?	Statistiska metoder som används för att sammanfatta och beskriva data.
105	6	deskriptiv_statistik	E	Vad är en frekvenstabell?	En tabell som visar hur många observationer som finns i varje kategori eller värde i en variabel.
106	6	deskriptiv_statistik	E	Vad visar ett histogram?	Ett histogram visar hur värden i en kvantitativ variabel är fördelade över olika intervall.
107	6	deskriptiv_statistik	E	Vad är medianvärdet?	Medianen är det mittersta värdet i en ordnad fördelning.
108	6	deskriptiv_statistik	E	Vad är typvärdet?	Typvärdet är det värde som förekommer oftast i en variabel.
109	6	deskriptiv_statistik	C	Vad visar ett spridningsdiagram?	Ett spridningsdiagram visar relationen mellan två kvantitativa variabler genom att plotta observationer i ett koordinatsystem.
110	6	deskriptiv_statistik	C	Hur kan standardisering användas i dataanalys?	Genom att omvandla värden till en gemensam skala till exempel z-poäng så att variabler kan jämföras.
111	6	deskriptiv_statistik	C	Hur kan man konstruera ett index av flera variabler?	Genom att kombinera flera indikatorer till ett sammansatt mått till exempel genom att summera eller ta medelvärde.
112	6	deskriptiv_statistik	C	Vad är skillnaden mellan tvärsnittsdata och tidsseriedata?	Tvärsnittsdata mäter många enheter vid en tidpunkt medan tidsseriedata följer samma variabel över tid.
113	6	deskriptiv_statistik	C	Vad är ett lådagram?	Ett diagram som visar median, kvartiler och eventuella extremvärden i en fördelning.
114	6	deskriptiv_statistik	C	Hur tolkar man en z-poäng?	Den visar hur många standardavvikelser en observation ligger över eller under medelvärdet.
115	6	deskriptiv_statistik	A	Hur kan latent variabelanalys förbättra mätningen?	Genom att modellera underliggande konstruktioner baserat på flera indikatorer och därmed minska mätfel.
116	6	deskriptiv_statistik	A	Hur kan Ginikoefficienten användas för att analysera ojämlikhet?	Den mäter hur ojämnt en resurs är fördelad i en population där högre värde innebär större ojämlikhet.
117	6	deskriptiv_statistik	A	Hur kan transformation av variabler påverka analysresultat?	Genom att ändra skalan eller distributionen vilket kan göra samband tydligare eller uppfylla modellantaganden.
118	6	deskriptiv_statistik	A	Hur kan olika diagramtyper påverka tolkningen av data?	Olika visualiseringar kan framhäva olika aspekter av variation och samband och därmed påverka hur resultaten förstås.
119	6	deskriptiv_statistik	A	Hur kan extremvärden påverka deskriptiva mått?	Outliers kan dra upp eller ner medelvärden och standardavvikelser och därmed ge en missvisande bild av den typiska observationen.
120	6	deskriptiv_statistik	A	När är medianen mer informativ än medelvärdet?	När fördelningen är sned eller innehåller extremvärden som gör medelvärdet mindre representativt.
121	7	inferentiell_statistik	E	Vad är signifikans?	En bedömning av om ett observerat resultat sannolikt beror på slumpen eller inte.
122	7	inferentiell_statistik	E	Vad är ett p-värde?	Sannolikheten att observera ett lika extremt resultat om nollhypotesen är sann.
123	7	inferentiell_statistik	E	Vad är inferentiell statistik?	Statistiska metoder som används för att dra slutsatser om en population baserat på ett urval.
124	7	inferentiell_statistik	E	Vad är ett konfidensintervall?	Ett intervall som med en viss sannolikhet innehåller det sanna populationsvärdet.
125	7	inferentiell_statistik	E	Vad innebär centrala gränsvärdessatsen?	Att medelvärdet av många slumpmässiga observationer tenderar att bli ungefär normalfördelat när urvalet är tillräckligt stort.
126	7	inferentiell_statistik	E	Vad är ett urvalsfel?	Skillnaden mellan ett urvals resultat och det sanna värdet i populationen.
127	7	inferentiell_statistik	C	Vad är skillnaden mellan statistisk och praktisk signifikans?	Statistisk signifikans avser sannolikheten att resultatet beror på slumpen medan praktisk signifikans handlar om hur stor eller meningsfull effekten är.
128	7	inferentiell_statistik	C	Hur kan regressionsanalys misstolkas?	Genom att tolka korrelation som kausalitet eller ignorera viktiga kontrollvariabler.
129	7	inferentiell_statistik	C	Hur påverkar urvalets storlek statistisk styrka?	Större urval ökar sannolikheten att upptäcka verkliga effekter.
130	7	inferentiell_statistik	C	Vad innebär ett chi²-test av oberoende?	Ett test som undersöker om två kategoriska variabler är statistiskt oberoende av varandra.
131	7	inferentiell_statistik	C	Vad testar ett t-test av två medelvärden?	Om medelvärdena i två grupper skiljer sig mer än vad som kan förklaras av slumpen.
132	7	inferentiell_statistik	C	Vad mäter Pearsons korrelationskoefficient r?	Styrkan och riktningen i ett linjärt samband mellan två kvantitativa variabler.
133	7	inferentiell_statistik	A	Hur kan regressionsanalys användas och missbrukas?	Den kan användas för att analysera samband men missbrukas om modeller tolkas kausalt utan lämplig design eller kontrollvariabler.
134	7	inferentiell_statistik	A	Hur kan statistisk signifikans dölja svaga effekter?	I stora urval kan mycket små och praktiskt irrelevanta effekter bli statistiskt signifikanta.
135	7	inferentiell_statistik	A	Hur kan multivariat analys förändra tolkningen?	Genom att kontrollera för flera variabler samtidigt kan tidigare observerade samband försvinna eller förändras.
136	7	inferentiell_statistik	A	Hur kan resultatens robusthet testas?	Genom känslighetsanalyser, alternativa modelleringar och kontroll av antaganden.
137	7	inferentiell_statistik	A	Vad innebär ett typ I-fel i hypotesprövning?	Att man felaktigt förkastar en sann nollhypotes.
138	7	inferentiell_statistik	A	Vad innebär ett typ II-fel i hypotesprövning?	Att man misslyckas med att förkasta en falsk nollhypotes.
139	7	inferentiell_statistik	A	Hur kan multikollinearitet påverka regressionsanalys?	När oberoende variabler är starkt korrelerade blir koefficienter instabila och svåra att tolka.
140	7	inferentiell_statistik	A	Vad innebär residualanalys i regressionsmodeller?	Att analysera skillnaden mellan observerade och predicerade värden för att kontrollera modellens antaganden.
